user_id,ethnicity,religion,sexualOrientation,OtherRacialBias,Positive Attitude,Neutral Attitude,Negative Attitude
[656, 1.0979860655962215e-11, 1.941993412841202e-09, 1.0104810824015682e-10, 1.995354462815526e-11, 3.257312717952744e-11, 2.6081784493894882e-11, 1.1890806796958548e-11]
[20, 1.2199845173291351e-12, 3.2366556880686703e-10, 7.57860811801176e-11, 3.6279172051191382e-12, 5.42885452992124e-12, 3.2602230617368602e-12, 6.79474674111917e-12]
[277, 6.0999225866456755e-12, 3.2366556880686703e-10, 2.5262027060039204e-11, 3.6279172051191382e-12, 5.42885452992124e-12, 4.890334592605289e-12, 6.79474674111917e-12]
[434, 6.0999225866456755e-12, 3.2366556880686703e-10, 2.5262027060039204e-11, 3.6279172051191382e-12, 5.42885452992124e-12, 4.890334592605289e-12, 6.79474674111917e-12]
[885, 6.099922586645675e-12, 3.2366556880686703e-10, 2.5262027060039204e-11, 3.6279172051191382e-12, 5.42885452992124e-12, 4.890334592605289e-12, 6.79474674111917e-12]
[507, 1.2199845173291351e-12, 3.2366556880686703e-10, 2.5262027060039204e-11, 1.8139586025595691e-12, 5.42885452992124e-12, 1.6301115308684301e-12, 1.6986866852797925e-12]
[581, 1.2199845173291351e-12, 3.2366556880686703e-10, 2.5262027060039204e-11, 1.8139586025595691e-12, 5.42885452992124e-12, 1.6301115308684301e-12, 1.6986866852797925e-12]
[648, 1.2199845173291351e-12, 3.2366556880686703e-10, 2.5262027060039204e-11, 1.8139586025595691e-12, 5.42885452992124e-12, 1.6301115308684301e-12, 1.6986866852797925e-12]
[791, 1.2199845173291351e-12, 3.2366556880686703e-10, 2.5262027060039204e-11, 1.8139586025595691e-12, 5.42885452992124e-12, 1.6301115308684301e-12, 1.6986866852797925e-12]
[549, 1.1943628715693955e-12, 5.599750325378322e-13, 8.405110666926166e-14, 2.2242454899239955e-13, 1.8032067747745485e-13, 7.783154106459583e-13, 4.3309870989695254e-13]
[554, 1.486383936702837e-13, 5.039775292840491e-12, 1.1393594459611026e-12, 5.786383003862425e-13, 1.4425654198196385e-13, 3.074587584911985e-13, 3.9070815220656684e-13]
[492, 9.197513862470593e-14, 5.599750325378322e-13, 4.2025553334630835e-12, 4.0972943235442026e-14, 5.770261679278555e-14, 1.8128464533679156e-13, 1.889699559691892e-13]
[353, 4.138881238111766e-14, 2.239900130151329e-12, 4.2959454519844847e-13, 1.1873791713128097e-13, 1.4906509338136266e-13, 6.864645236753176e-14, 6.333047173021476e-14]
[381, 2.972767873405674e-14, 5.039775292840491e-12, 5.696797229805513e-13, 4.8219858365520205e-14, 1.4425654198196385e-13, 3.843234481139981e-14, 3.907081522065668e-14]
[513, 2.972767873405674e-14, 5.039775292840491e-12, 5.696797229805513e-13, 4.8219858365520205e-14, 1.4425654198196385e-13, 3.843234481139981e-14, 3.907081522065668e-14]
[599, 2.972767873405674e-14, 5.039775292840491e-12, 5.696797229805513e-13, 4.8219858365520205e-14, 1.4425654198196385e-13, 3.843234481139981e-14, 3.907081522065668e-14]
[708, 2.972767873405674e-14, 5.039775292840491e-12, 5.696797229805513e-13, 4.8219858365520205e-14, 1.4425654198196385e-13, 3.843234481139981e-14, 3.907081522065668e-14]
[789, 2.972767873405674e-14, 5.039775292840491e-12, 5.696797229805513e-13, 4.8219858365520205e-14, 1.4425654198196385e-13, 3.843234481139981e-14, 3.907081522065668e-14]
