user_id,created_at,location,favorite_count,retweet_count,text
issam_srh,Tue Nov 29 01:11:21 +0000 2016,,0,0,"RT @KhtyRappels: ou un mal, ou une angoisse qui touche le Musulman, jusqu'à l'épine qui le pique, sans que.. 🖇

[Bukhari et Muslim, riyad a…"
thamicristina12,Tue Nov 29 01:11:21 +0000 2016,,0,0,"@ulisses_anderso ata, já sei oque que eu fiz kkk"
DouganAnthony,Tue Nov 29 01:11:21 +0000 2016,,0,0,RT @Crystal1Johnson: 2015-2016 Academic year enrolled the highest number of African-American medical students in history! https://t.co/I1Wp…
Meps_0603,Tue Nov 29 01:11:21 +0000 2016,Waiting for Kingdom ,0,0,"RT @seducsive: no female wants to start over with a new guy. telling secrets, giving her body away. falling all over again. it’s too much."
DSKingy,Tue Nov 29 01:11:21 +0000 2016,,0,0,RT @shoephotos: All Black Everything. https://t.co/VOhREQqpoy
radio_rengli,Tue Nov 29 01:11:21 +0000 2016,Azerbaijan,0,0,Now playing Black &amp; Blue  by Paloma Faith!
pinay_cams,Tue Nov 29 01:11:21 +0000 2016,,0,0,bigclitt is currently Live Free Chat #pinay #filipina #philippines #manila #cebu #angeles #asian #sex #pussy #booty… https://t.co/c4qktnJPel
IGoByAlice,Tue Nov 29 01:11:21 +0000 2016,MD,0,0,Ohh he can be kept https://t.co/8cBzFFRL8g
jen_suprena,Tue Nov 29 01:11:21 +0000 2016,everywhere,0,0,RT @Fro_ForYoHoe: Y'all get on my nerves https://t.co/d7gJOuEmDh
INFAMOUSVITO,Tue Nov 29 01:11:21 +0000 2016,leaping from life to life,0,0,RT @wstaar1: President Trump needs to give him an award at the White House.  #TrumpTrain https://t.co/02P8Vt1Hg7
perezanton188,Tue Nov 29 01:11:21 +0000 2016,probably at work ,0,0,RT @tavinthoftne: Wtf man https://t.co/u4YL5XpoA6
kt02__,Tue Nov 29 01:11:21 +0000 2016,"Starkville, MS",0,0,"RT @seducsive: no female wants to start over with a new guy. telling secrets, giving her body away. falling all over again. it’s too much."
JJDD99,Tue Nov 29 01:11:21 +0000 2016,Ohio & Alabama,0,0,Race doesn't matter- who in their RIGHT MIND support a person who senselessly stabs 8 PEOPLE and tries to run other over w a car
rmnsyydy4,Tue Nov 29 01:11:21 +0000 2016,,0,0,Sexy asian couple hardcore sex https://t.co/2bLg1XtcDc
peaceminusone,Tue Nov 29 01:11:21 +0000 2016,becca jin azi kat,0,0,"ok but did jiho actually mean that his personality is ""black"" like the race or like it's dark 💀 im scremiang"
ProjectPupil,Tue Nov 29 01:11:21 +0000 2016,"Los Gatos, CA.",0,0,Harvest of nuisance black bears in New Jersey reducing human-bear conflicts https://t.co/B2aJ7XNCKZ #education
trillijuana,Tue Nov 29 01:11:21 +0000 2016,"California, USA",0,0,RT @Delo_Taylor: 21yo Black man Cleon Hodge faces 2 &amp; 1/2 years in prison for bumping into a Cambridge police officer on the street. https:…
Ziatmo_Buandu,Tue Nov 29 01:11:21 +0000 2016,"Nebraska, USA",0,0,Sony PlayStation 3 Launch Edition 80GB Piano Black Console (CECH-K01) https://t.co/DysI5LzWpY https://t.co/nfiDu1gLUp
prime_bee,Tue Nov 29 01:11:21 +0000 2016,"Yamamasnoochie, Japan",0,0,Where is #bluelivesmatter ? #radiosilence https://t.co/2lkfQHNdJi
DogRescueTweets,Tue Nov 29 01:11:21 +0000 2016,,0,0,RT @MesMitch: @YarosisNancy @nadianboone @humaneffect @humansthathelp @DogRescueTweets @jijmpel @hardcorerox @reddogsusie @nycscr… 
lucas_cnx,Tue Nov 29 01:11:21 +0000 2016,,0,0,feeling gay
Jmstyle08,Tue Nov 29 01:11:21 +0000 2016,"Europe, USA",0,0,"RT @Jmstyle08: https://t.co/JUvfhsLhmP
https://t.co/I1AMSg0EFq https://t.co/VRSTc63ARs"
PinayCam,Tue Nov 29 01:11:21 +0000 2016,,0,0,MasterCum4You is currently Live Free Chat #pinay #Filipina #Philippines #Asian #pussy #sex #horny #ass #booty https://t.co/BoFrnTD6iy
wwwauto77com,Tue Nov 29 01:11:21 +0000 2016,"usa, polska, rotterdam",0,0,"Poland The Stronghold Of Europe * Nov.11, 2016 * March For Christian Europe (English subs.) https://t.co/3dJdxzFBKb"
ChannieMaromba,Tue Nov 29 01:11:21 +0000 2016,CHOGIWAAA ✨,0,0,RT @tataa992: os meu Deus q ele é assim kkk https://t.co/LbDhlbarBM
VincentStRomai1,Tue Nov 29 01:11:21 +0000 2016,,0,0,"RT @VaultBoyWonder: It's surprising how fast the media loses attention when the ""shooter"" was a Muslim with a knife. #guncontrol #OhioState"
TavianJordan,Tue Nov 29 01:11:21 +0000 2016,International ,0,0,RT @YOUNGTRAPNEGRO: Black don't crack? https://t.co/uc2sSYcVjP
allonjaime,Tue Nov 29 01:11:21 +0000 2016,"Belém, Pará",0,0,RT @wtf1couk: Rosberg's race 😂 #F1 #AbuDhabiGP https://t.co/IIK8NFQOeD
taylorheld4,Tue Nov 29 01:11:21 +0000 2016,North Knox ,0,0,#mcm black n white style 😛 https://t.co/echZesjMiU
Fiuxru_Builwa,Tue Nov 29 01:11:21 +0000 2016,"Michigan, USA",0,0,SONY PLAYSTATION 3 SLIM 120 GB BLACK CONSOLE (CECH-2001A)   https://t.co/PHFmK7nXHa https://t.co/LR48pPMrsn
davidnhb17,Tue Nov 29 01:11:21 +0000 2016,"Thousand Palms, CA",0,0,RT @aravosis: LOL She may go down as the biggest enabler of sexism and misogyny in the history of the country. And now she sudden… 
Insterburger1,Tue Nov 29 01:11:21 +0000 2016,"Bayern, Deutschland",0,0,RT @TheWalrusPrince: @MsBlaireWhite #Nazi Trump Disciples are to blame for shooting this brave #Muslim
anaclariou,Tue Nov 29 01:11:21 +0000 2016,Brasil,0,0,@Victoriazobel não mesmo kkk
shemale_chat1,Tue Nov 29 01:11:22 +0000 2016,United States,0,0,"Shemale/Transgender sex cams -&gt;&gt;https://t.co/YQyQHHF8PD https://t.co/YQyQHHF8PD https://t.co/YQyQHHF8PD FUCK_ME_IM_BEATIFUL_XXX - Love, in…"
giveawaybrazz,Tue Nov 29 01:11:22 +0000 2016,United States,0,0,"Me today: no more spending today, not after Black Friday Also me: ... I need this, oh &amp; this too The moral of this story is I'm now broke"
CRISTY44639533,Tue Nov 29 01:11:21 +0000 2016,ZARAGOZA,0,0,RT @tonivih: El Black Friday pisa con fuerza en las farmacias https://t.co/s22P3qhytW vía @diariofarma
Itskhaledboii,Tue Nov 29 01:11:22 +0000 2016,Melbourne,0,0,RT @stekcop: All gay niggahs happen to be mj smh https://t.co/PqZer5gZVr
DJT103,Tue Nov 29 01:11:22 +0000 2016,London/Hertfordshire,0,0,RT @ChiefJoe_: @Lonzayy @DJT103 wen dan brings a white ting https://t.co/cvsK2JmDfb
jtrev8,Tue Nov 29 01:11:22 +0000 2016,,0,0,RT @CapehartJ: Keep these things in mind as you read profiles that wonder aloud whether Bannon personally is racist. https://t.co/DobLHJ6m1U
knettlev,Tue Nov 29 01:11:22 +0000 2016,"Santiago, Chile.",0,0,"♌️

#selfie #black #white #instagood #goodnight #picoftheday #instalike #instadaily #instagram #me https://t.co/EQZAlOTP5a"
